ID	GeneName	Transcript#	Strand	Chromosome	Start	End	ExonLength	Source	IsConfounded	EntrezID	GeneType
100038607	Gm10636	1	-	3	146367153	146378944	2419	mm10_refGene	False	100038607	ncRNA
100038608	Gm10389	1	+	15	10600293	10611651	3468	mm10_refGene	True	100038608	ncRNA
100038614	Gm10791	1	+	16	84972211	84979451	1654	mm10_refGene	True	100038614	ncRNA
100038617	Gm10466	1	-	11	24721006	24730722	2466	mm10_refGene	False	100038617	ncRNA
100038623	Gm10823	1	+	16	27849930	27926128	815	mm10_refGene	False	100038623	ncRNA
100038627	F630042J09Rik	1	+	13	67278594	67283361	3164	mm10_refGene	False	100038627	ncRNA
100038628	Gm10768	1	+	19	43838803	43840845	2043	mm10_refGene	False	100038628	ncRNA
100038638	Fmr1os	1	-	X	68667514	68678399	2743	mm10_refGene	False	100038638	ncRNA
100038653	Gm10538	1	+	1	132729353	132732826	1879	mm10_refGene	True	100038653	ncRNA
100038654	Gm10371	1	-	14	47097679	47116161	1411	mm10_refGene	True	100038654	ncRNA
100038657	7420461P10Rik	1	-	1	162647243	162658219	741	mm10_refGene	True	100038657	protein-coding
100038659	Gm10872	1	-	15	76266787	76269839	971	mm10_refGene	True	100038659	ncRNA
100038666	Gm12298	1	-	11	66905632	66947086	820	mm10_refGene	True	100038666	ncRNA
100038689	Gm10421	1	-	12	117144523	117151269	842	mm10_refGene	True	100038689	ncRNA
100038690	Gm10732	1	-	13	118603410	118658743	1309	mm10_refGene	False	100038690	ncRNA
100038693	Tmem51os1	1	+	4	142084298	142088101	1758	mm10_refGene	True	100038693	ncRNA
100038699	Gm10754	1	-	10	97681414	97967090	1633	mm10_refGene	True	100038699	ncRNA
100038706	Gm10637	1	-	8	87169747	87199850	839	mm10_refGene	False	100038706	ncRNA
100038709	Gm10789	1	+	16	90142237	90146827	4591	mm10_refGene	False	100038709	ncRNA
100038712	Gm10516	1	+	1	192136898	192151025	2612	mm10_refGene	True	100038712	ncRNA
100038713	Gm10432	1	+	12	100276609	100300908	4791	mm10_refGene	True	100038713	ncRNA
100038714	Gm15401	2	+	6	72629288	72637717	1529	mm10_refGene	True	100038714	ncRNA
100038718	Gm10494	1	-	17	79506049	79510486	2582	mm10_refGene	False	100038718	ncRNA
100038725	Cep85l	1	-	10	53278081	53379851	2691	mm10_refGene	True	100038725	protein-coding
100038728	Gm10373	1	-	15	43430943	43477036	668	mm10_refGene	False	100038728	ncRNA
100038732	Gm11681	2	-	11	112792731	112799008	870	mm10_refGene	False	100038732	ncRNA
100038734	Gm10845	1	-	14	79860521	79869176	3389	mm10_refGene	False	100038734	ncRNA
100038743	Gm13629	1	+	2	66440880	66547472	1347	mm10_refGene	True	100038743	ncRNA
100038746	Gm1976	2	-	17	94759942	94834799	1912	mm10_refGene	True	100038746	ncRNA
100038752	Gm10825	1	+	10	22402813	22407470	4548	mm10_refGene	False	100038752	ncRNA
100038847	Gm10406	1	-	14	7006115	7027449	1955	mm10_refGene	False	100038847	protein-coding
100038854	BC117090	1	-	16	36321665	36334332	387	mm10_refGene	False	100038854	protein-coding
100038859	Olfr55	1	+	17	33176416	33177363	948	mm10_refGene	False	100038859	protein-coding
100038860	Olfr239	1	+	17	33199062	33200009	948	mm10_refGene	False	100038860	protein-coding
100038862	Btnl1	1	+	17	34377132	34386028	2113	mm10_refGene	False	100038862	protein-coding
100038882	Isg15	1	-	4	156199424	156200818	756	mm10_refGene	False	100038882	protein-coding
100038909	Gm14548	1	-	7	3884214	3898092	2128	mm10_refGene	True	100038909	protein-coding
100038912	Ceacam-ps1	1	-	7	16649030	16657478	715	mm10_refGene	False	100038912	pseudo
100038927	Gm15284	1	+	8	21134650	21135598	390	mm10_refGene	False	100038927	protein-coding
100038941	Vmn2r121	1	-	X	124127339	124135910	3062	mm10_refGene	False	100038941	protein-coding
100038947	LOC100038947	1	-	3	15795147	15848487	1456	mm10_refGene	False	100038947	protein-coding
100038948	Mup9	1	-	4	60418046	60421952	882	mm10_refGene	False	100038948	protein-coding
100038949	Gm1979	1	-	5	26000172	26004727	804	mm10_refGene	False	100038949	protein-coding
100038977	Gm1993	1	-	X	25548501	25570449	923	mm10_refGene	False	100038977	protein-coding
100038982	Gm1995	1	+	12	87861350	87865690	4341	mm10_refGene	False	100038982	pseudo
100038993	Gm2002	1	-	4	42158116	42168604	2680	mm10_refGene	True	100038993	protein-coding
100039008	Mup10	1	-	4	60578261	60582155	882	mm10_refGene	True	100039008	protein-coding
100039027	Gm2011	1	+	3	40846999	40875609	794	mm10_refGene	True	100039027	pseudo
100039028	Mup11	1	-	4	60658466	60662395	914	mm10_refGene	True	100039028	protein-coding
100039030	Gm2012	1	-	X	26200883	26231323	891	mm10_refGene	False	100039030	protein-coding
100039042	Gm2016	1	+	12	87874072	87877859	1766	mm10_refGene	False	100039042	protein-coding
100039043	Gm10731	1	-	3	40853476	40855285	1810	mm10_refGene	True	100039043	pseudo
100039045	Gm10471	1	-	5	26082172	26089264	3342	mm10_refGene	False	100039045	protein-coding
100039052	Gm2022	1	+	12	87892834	87896722	1822	mm10_refGene	False	100039052	protein-coding
100039054	Mup12	1	-	4	60737381	60741281	883	mm10_refGene	False	100039054	protein-coding
100039055	Gm16404	1	+	X	55551596	55568457	650	mm10_refGene	False	100039055	protein-coding
100039060	0610010B08Rik	1	-	2	175192005	175338212	4539	mm10_refGene	True	100039060	protein-coding
100039062	Gm2027	1	+	12	44221356	44224380	3025	mm10_refGene	False	100039062	pseudo
100039065	Gm2030	1	-	X	26287199	26310044	907	mm10_refGene	False	100039065	protein-coding
100039087	Gm2042	2	+	12	87602665	87608850	1840	mm10_refGene	True	100039087	protein-coding
100039089	Mup13	1	-	4	61224307	61228286	984	mm10_refGene	False	100039089	protein-coding
100039116	Mup14	1	-	4	61300037	61303998	926	mm10_refGene	True	100039116	protein-coding
100039120	Gm14525	1	-	X	26672780	26702638	890	mm10_refGene	False	100039120	protein-coding
100039123	Gm14295	1	+	2	176798600	176808704	1311	mm10_refGene	False	100039123	protein-coding
100039138	Gm2061	1	-	1	185447116	185455568	2761	mm10_refGene	True	100039138	ncRNA
100039139	Ccdc152	1	-	15	3280627	3303526	798	mm10_refGene	False	100039139	protein-coding
100039148	Gm12128	1	+	11	37658989	37673166	2914	mm10_refGene	False	100039148	ncRNA
100039150	Mup15	1	-	4	60066469	60139858	889	mm10_refGene	True	100039150	protein-coding
100039176	Gm13580	1	+	2	60411525	60412574	561	mm10_refGene	False	100039176	ncRNA
100039177	Mup16	1	-	4	61515593	61519486	881	mm10_refGene	True	100039177	protein-coding
100039186	Gm2087	1	+	9	83431547	83454574	367	mm10_refGene	True	100039186	ncRNA
100039192	Tmem254c	2	-	14	25923998	25927672	1644	mm10_refGene	True	100039192	protein-coding
100039206	Mup17	1	-	4	61591931	61595832	886	mm10_refGene	True	100039206	protein-coding
100039211	Gm10649	1	-	8	76749087	76900173	1537	mm10_refGene	False	100039211	ncRNA
100039213	Cphx2	1	+	14	25942540	25956370	1662	mm10_refGene	True	100039213	protein-coding
100039222	Gm2109	1	+	9	83691475	83693247	1433	mm10_refGene	False	100039222	ncRNA
100039227	Duxbl2	1	+	14	25983005	25990166	2334	mm10_refGene	True	100039227	protein-coding
100039239	Gm2115	1	+	7	84528954	84578339	1863	mm10_refGene	False	100039239	ncRNA
100039240	Gm10058	1	-	X	24948456	24971357	889	mm10_refGene	True	100039240	protein-coding
100039246	Plac9b	1	-	14	25887934	25902971	998	mm10_refGene	True	100039246	protein-coding
100039257	Tmem254b	2	-	14	25923997	25927656	1551	mm10_refGene	True	100039257	protein-coding
100039280	Cphx3	1	+	14	25942540	25956372	1664	mm10_refGene	True	100039280	protein-coding
100039293	Duxbl3	1	+	14	25983005	25990166	2334	mm10_refGene	True	100039293	protein-coding
100039315	Gm10436	1	-	12	88175589	88181894	1893	mm10_refGene	False	100039315	protein-coding
100039319	Gm14920	1	+	X	117014757	117015104	348	mm10_refGene	False	100039319	protein-coding
100039324	Gm10147	1	-	X	24948455	24971360	893	mm10_refGene	True	100039324	protein-coding
100039348	Gm2176	1	-	18	80541892	80544546	1734	mm10_refGene	False	100039348	pseudo
100039377	Gm10096	1	-	X	24948455	24971388	921	mm10_refGene	True	100039377	protein-coding
100039436	Mageb16-ps1	1	-	X	144552758	144556239	3482	mm10_refGene	True	100039436	pseudo
100039467	Gm10487	1	-	X	27472051	27494942	907	mm10_refGene	True	100039467	protein-coding
100039479	Vmn1r186	1	+	7	5675322	5676224	903	mm10_refGene	True	100039479	protein-coding
100039495	Gm15706	1	+	6	145250552	145251856	886	mm10_refGene	False	100039495	ncRNA
100039499	Vmn1r187	1	-	7	5802729	5803631	903	mm10_refGene	True	100039499	protein-coding
100039550	Gm10486	1	-	X	24948452	24971388	924	mm10_refGene	True	100039550	protein-coding
100039551	Tgif2lx2	1	-	X	118479706	118480737	1032	mm10_refGene	True	100039551	protein-coding
100039574	Gm20806	1	-	Y	67339049	67340047	999	mm10_refGene	False	100039574	protein-coding
100039585	Gm14819	1	-	X	24948451	24971360	894	mm10_refGene	True	100039585	protein-coding
100039596	Tcf24	1	-	1	9960163	9967485	3746	mm10_refGene	False	100039596	protein-coding
100039614	Gm20809	1	-	Y	72819515	72820507	993	mm10_refGene	False	100039614	protein-coding
100039636	Atp6v0c-ps2	1	-	17	24163865	24169395	1118	mm10_refGene	True	100039636	pseudo
100039641	E330012B07Rik	1	+	6	147180241	147208294	2361	mm10_refGene	False	100039641	ncRNA
100039672	Msmp	1	-	4	43583216	43584494	743	mm10_refGene	True	100039672	protein-coding
100039684	5031434O11Rik	1	+	3	51559757	51567116	718	mm10_refGene	True	100039684	ncRNA
100039691	Lincenc1	3	+	13	97434970	97497664	3544	mm10_refGene	False	100039691	ncRNA
100039706	Gm2381	1	-	7	42816827	42867234	4075	mm10_refGene	False	100039706	pseudo
100039707	Mthfsl	1	-	9	88688605	88719798	783	mm10_refGene	False	100039707	protein-coding
100039727	1700049E15Rik	1	+	6	147690241	147702374	921	mm10_refGene	False	100039727	ncRNA
100039753	Gm20815	1	-	Y	8832249	8835169	1796	mm10_refGene	False	100039753	protein-coding
100039781	Hrct1	1	+	4	43727198	43728110	913	mm10_refGene	False	100039781	protein-coding
100039795	Ildr2	1	+	1	166254139	166316832	8260	mm10_refGene	False	100039795	protein-coding
100039796	Tgtp2	1	-	11	49057196	49064212	2816	mm10_refGene	True	100039796	protein-coding
100039801	Cldn24	1	+	8	47822143	47822805	663	mm10_refGene	False	100039801	protein-coding
100039805	D5Ertd605e	1	+	5	147418620	147423044	1062	mm10_refGene	False	100039805	ncRNA
100039810	Gm20816	1	-	Y	64301783	64786299	1222	mm10_refGene	True	100039810	protein-coding
100039863	Gm13306	3	+	4	42153445	42158846	1044	mm10_refGene	True	100039863	protein-coding
100039864	Snhg12	1	+	4	132308678	132311024	606	mm10_refGene	True	100039864	ncRNA
100039890	Gm15093	1	+	X	148322134	148354730	2020	mm10_refGene	True	100039890	protein-coding
100039913	Rhox2b	1	+	X	37412105	37416806	761	mm10_refGene	False	100039913	protein-coding
100039934	Gm15085	1	+	X	147992993	148033174	2029	mm10_refGene	True	100039934	protein-coding
100039939	Gm2506	2	+	4	42156750	42158846	819	mm10_refGene	True	100039939	protein-coding
100039948	Rhox2c	1	+	X	37453659	37458375	779	mm10_refGene	False	100039948	protein-coding
100039953	Gfy	1	-	7	45176349	45179597	1877	mm10_refGene	False	100039953	protein-coding
100039954	Gm2516	1	+	8	50368112	50416089	955	mm10_refGene	False	100039954	ncRNA
100039957	Gm2518	1	+	19	8774485	8776962	2478	mm10_refGene	True	100039957	pseudo
100039968	Gm12942	1	+	4	127126043	127129660	1139	mm10_refGene	False	100039968	protein-coding
100040016	Rhox2e	1	+	X	37530468	37541809	779	mm10_refGene	False	100040016	protein-coding
100040022	Gm20822	1	-	Y	11197162	11197848	687	mm10_refGene	False	100040022	protein-coding
100040030	Gm2560	1	-	4	14212012	14291309	902	mm10_refGene	False	100040030	ncRNA
100040031	Gm20823	1	-	Y	49842794	49845127	1223	mm10_refGene	True	100040031	protein-coding
100040048	Ccl27b	3	+	4	42153445	42158846	1044	mm10_refGene	True	100040048	protein-coding
100040049	1810010D01Rik	1	-	7	145205818	145208119	935	mm10_refGene	False	100040049	ncRNA
100040160	Gm20826	1	-	Y	7167020	7167777	758	mm10_refGene	False	100040160	protein-coding
100040201	Gm10229	1	+	16	89015277	89015846	570	mm10_refGene	False	100040201	protein-coding
100040208	Gm2663	1	-	6	40995822	40999479	870	mm10_refGene	False	100040208	protein-coding
100040214	Gm10228	1	-	16	89040923	89041472	550	mm10_refGene	False	100040214	protein-coding
100040223	Gm20831	1	+	Y	13252391	13254829	1339	mm10_refGene	False	100040223	protein-coding
100040233	Gm10334	1	-	6	41442214	41446097	830	mm10_refGene	False	100040233	protein-coding
100040248	Gm11563	1	-	11	99657942	99658959	1018	mm10_refGene	False	100040248	protein-coding
100040268	Olfr157	1	-	4	43834752	43836517	1766	mm10_refGene	False	100040268	protein-coding
100040276	Gm11595	1	-	11	99771714	99772913	1200	mm10_refGene	False	100040276	protein-coding
100040294	Gm2694	2	+	8	87472812	87525554	797	mm10_refGene	False	100040294	ncRNA
100040299	Gm2696	1	+	10	77814682	77815404	723	mm10_refGene	True	100040299	protein-coding
100040322	3830408C21Rik	1	+	13	107022570	107033518	1898	mm10_refGene	False	100040322	ncRNA
100040339	Gm2721	1	-	12	105394856	105403760	1575	mm10_refGene	False	100040339	ncRNA
100040421	Gm2762	1	+	13	53393689	53455630	2339	mm10_refGene	False	100040421	ncRNA
100040462	Mndal	1	-	1	173857220	173880187	1908	mm10_refGene	False	100040462	protein-coding
100040482	Gm2799	1	+	X	32278394	32280342	1949	mm10_refGene	False	100040482	protein-coding
100040525	Tmem181c-ps	1	-	17	6610103	6620925	4045	mm10_refGene	False	100040525	pseudo
100040531	Dynlt1f	2	-	17	6646606	6655939	1163	mm10_refGene	True	100040531	protein-coding
100040533	Gm2825	1	+	X	32973897	32975846	1950	mm10_refGene	False	100040533	protein-coding
100040552	Gm2837	1	+	X	33056286	33057063	778	mm10_refGene	False	100040552	pseudo
100040563	Dynlt1c	1	-	17	6648947	6655831	693	mm10_refGene	True	100040563	protein-coding
100040567	Gm12409	1	-	4	45762377	45764223	646	mm10_refGene	False	100040567	ncRNA
100040572	Gm2848	1	-	13	52569880	52573225	733	mm10_refGene	False	100040572	ncRNA
100040591	Kcnj13	1	-	1	87386284	87394729	1349	mm10_refGene	True	100040591	protein-coding
100040599	Gm15319	1	-	8	20337664	20363202	2514	mm10_refGene	False	100040599	protein-coding
100040606	Gm2863	1	+	X	33313338	33315288	1951	mm10_refGene	False	100040606	protein-coding
100040608	Fancf	1	-	7	51860577	51862267	1691	mm10_refGene	False	100040608	protein-coding
100040617	Gm12603	1	+	4	89050307	89084610	718	mm10_refGene	False	100040617	ncRNA
100040635	Gm15023	1	-	X	135169305	135177614	1999	mm10_refGene	True	100040635	protein-coding
100040671	Gm2897	1	+	14	3049285	3076838	1978	mm10_refGene	False	100040671	protein-coding
100040698	Gm2913	1	-	X	3750926	3752885	1960	mm10_refGene	True	100040698	protein-coding
100040722	Gm2927	1	+	X	33657140	33659082	1943	mm10_refGene	False	100040722	protein-coding
100040724	Mirg	1	+	12	109734981	109749457	1299	mm10_refGene	True	100040724	ncRNA
100040732	Gm2933	1	-	X	33575614	33577314	1701	mm10_refGene	True	100040732	protein-coding
100040736	Foxd2os	1	+	4	114909289	114921118	2876	mm10_refGene	False	100040736	ncRNA
100040766	Mroh2a	1	+	1	88227020	88262289	7502	mm10_refGene	True	100040766	protein-coding
100040786	LOC100040786	1	-	Y	54185857	54188230	1149	mm10_refGene	False	100040786	protein-coding
100040792	Gm11627	1	-	11	102576399	102579119	677	mm10_refGene	False	100040792	ncRNA
100040843	Cyp4a32	1	+	4	115600938	115622366	1914	mm10_refGene	False	100040843	protein-coding
100040851	Gm9767	1	+	10	26078255	26079447	1193	mm10_refGene	True	100040851	ncRNA
100040852	Gm3002	1	+	14	3814913	3830681	5215	mm10_refGene	False	100040852	pseudo
100040854	Gm13040	1	+	4	143511312	143517833	2104	mm10_refGene	True	100040854	protein-coding
100040861	Gm13057	1	+	4	143511312	143517833	2104	mm10_refGene	True	100040861	protein-coding
100040867	Gm16405	1	+	X	54531208	54548013	700	mm10_refGene	True	100040867	protein-coding
100040880	Gm3020	1	+	14	3412614	3430174	848	mm10_refGene	True	100040880	pseudo
100040882	1700017G19Rik	1	-	3	40504865	40522912	2439	mm10_refGene	False	100040882	ncRNA
100040894	Gm16430	1	+	X	54531208	54548013	700	mm10_refGene	True	100040894	protein-coding
100040911	Gm20854	1	-	Y	83789754	83927911	989	mm10_refGene	False	100040911	protein-coding
100040937	Cldn34b1	1	-	X	154886803	154890267	1081	mm10_refGene	False	100040937	protein-coding
100040970	Rpl14-ps1	1	+	7	45324958	45325651	694	mm10_refGene	True	100040970	pseudo
100040972	Tceal7	1	+	X	136224041	136226100	971	mm10_refGene	False	100040972	protein-coding
100040999	Gm3086	1	+	12	69963409	69969744	628	mm10_refGene	True	100040999	pseudo
100041014	Gm20857	1	-	Y	24188659	24214668	729	mm10_refGene	True	100041014	pseudo
100041033	Gm20858	1	-	Y	24188659	24214668	729	mm10_refGene	True	100041033	pseudo
100041062	Gm13286	1	+	4	88757844	88758392	549	mm10_refGene	False	100041062	protein-coding
100041077	Gm13102	1	+	4	144099880	144110101	2405	mm10_refGene	False	100041077	protein-coding
100041085	G630090E17Rik	1	-	10	39946912	39960153	1782	mm10_refGene	True	100041085	protein-coding
100041096	Iqcf6	1	+	9	106626582	106627612	474	mm10_refGene	False	100041096	protein-coding
100041102	Gm3139	2	+	5	94526284	94538367	2064	mm10_refGene	False	100041102	protein-coding
100041108	Gm3143	2	-	3	34699640	34716662	960	mm10_refGene	False	100041108	ncRNA
100041151	Gm3636	1	-	14	6735683	6757057	1724	mm10_refGene	False	100041151	protein-coding
100041187	Olfr596	1	+	7	103309723	103310661	939	mm10_refGene	False	100041187	protein-coding
100041223	Gm20865	1	-	Y	53341522	53342380	859	mm10_refGene	False	100041223	protein-coding
100041230	Hist1h4m	1	+	13	21811746	21812150	405	mm10_refGene	True	100041230	protein-coding
100041231	Gm3219	1	+	14	34345055	34345658	604	mm10_refGene	False	100041231	pseudo
100041244	Gm3230	1	-	2	19655806	19657897	2092	mm10_refGene	False	100041244	ncRNA
100041253	Gm16513	1	+	5	94865453	94878188	2901	mm10_refGene	True	100041253	protein-coding
100041256	Gm20867	1	-	Y	64301785	64786299	1220	mm10_refGene	True	100041256	protein-coding
100041261	Gm3238	1	-	10	77770633	77771325	693	mm10_refGene	True	100041261	protein-coding
100041286	Gm11974	1	-	11	6525591	6528760	592	mm10_refGene	False	100041286	ncRNA
100041290	D4Ertd617e	1	+	4	118626404	118631915	805	mm10_refGene	True	100041290	ncRNA
100041294	Gm3258	1	-	10	31413726	31414435	710	mm10_refGene	True	100041294	protein-coding
100041296	Gm3259	1	+	5	95305923	95343575	2299	mm10_refGene	False	100041296	protein-coding
100041306	Gm3264	1	+	14	4430992	4519452	519	mm10_refGene	False	100041306	protein-coding
100041311	Gm11978	1	-	11	6650148	6660236	1306	mm10_refGene	True	100041311	pseudo
100041339	Gm3279	1	+	6	55684571	55694574	1092	mm10_refGene	False	100041339	ncRNA
100041346	Gm20871	1	-	Y	59606710	59632758	811	mm10_refGene	False	100041346	pseudo
100041347	Gm11985	1	-	11	7183157	7188569	1003	mm10_refGene	False	100041347	ncRNA
100041351	Gm3285	1	+	10	77861975	77862638	664	mm10_refGene	True	100041351	protein-coding
100041352	Tcp10c	1	+	17	13354572	13377223	2528	mm10_refGene	False	100041352	protein-coding
100041354	Gm3286	3	+	5	95473541	95485105	2039	mm10_refGene	True	100041354	protein-coding
100041375	Cyp3a41b	1	-	5	145558664	145584730	2064	mm10_refGene	True	100041375	protein-coding
100041379	Gm13242	1	+	4	145670697	145704437	3990	mm10_refGene	False	100041379	protein-coding
100041412	Gm11938	1	-	11	99602646	99603308	663	mm10_refGene	False	100041412	protein-coding
100041433	Gm13247	2	+	4	146502000	146539395	3191	mm10_refGene	True	100041433	protein-coding
100041449	Cyp3a59	1	+	5	146079258	146113283	1997	mm10_refGene	False	100041449	protein-coding
100041479	Gm3363	1	-	2	18742709	18760862	1390	mm10_refGene	True	100041479	ncRNA
100041480	Gm9833	1	+	3	10088277	10092562	1660	mm10_refGene	False	100041480	pseudo
100041488	Gm11937	1	-	11	99609794	99610189	396	mm10_refGene	False	100041488	protein-coding
100041505	Gm3376	1	+	Y	3771673	3783271	1580	mm10_refGene	True	100041505	protein-coding
100041515	Gm3383	2	-	14	5438070	5455448	1880	mm10_refGene	False	100041515	protein-coding
100041530	Gm10409	1	+	14	3412614	3433857	1990	mm10_refGene	True	100041530	pseudo
100041546	Ly6c2	1	-	15	75108161	75111949	801	mm10_refGene	False	100041546	protein-coding
